Species,Order,Family,Genus,Species.1,BDT.C,ET,LT,Author,Year,Title,Journal,Location_new,lon_new,lat_new,quality,index,T_Avg ,BDT_Dist,ET_Dist,LT_Dist,T_Index,,,,
Brevicoryne brassicae,Homoptera,Aphididae,Brevicoryne,brassicae,2.94,NA,NA,"Satar, S., Kersting, U. and Ulusoy, M.R.",2005,"Temperature dependent life history traits of Brevicoryne brassicae (L.) (Hom., Aphididae) on white cabbage.",Turk. J. Agric. For.,"Adana, Turkey",NA,NA,2,474,17.4,14.46,NA,NA,2,,,,
Hymenoptera,Braconidae,Meteorus,communis,"Shimogamo, Kyoto, Japan",20.6,NA,NA,"Nowosielski-Slepowron B.J.A., Aryeetay E.A.",1980,"Developmental biology of field and laboratory populations of Laethicus oryzae Waterhous (Coleoptera, Tenebrionidae) under various conditions of temperature and humidity.",Journal of Stored Products Research,"Slough, United Kingdom",-0.58472,51.502191,1,166,9.2,11.4,NA,NA,2,,,,
Diatraea lineolata,Lepidoptera,Pyralidae,Diatraea,lineolata,9.3,9.2,NA,"Bazzocchi, G. G., A. Lanzoni, et al.",2003, Effects of temperature and host on the pre-imaginal development of the parasitoid Diglyphus isaea (Hymenoptera: Eulophidae),Biological Control,"Cesena, Province of ForlÃ¬-Cesena, Italy",12.247011,44.136861,2,718,11.9,2.6,2.7,NA,2,,,,
Diatraea lineolata,Lepidoptera,Pyralidae,Diatraea,lineolata,9.3,9.6,NA,"Bazzocchi, G. G., A. Lanzoni, et al.",2003, Effects of temperature and host on the pre-imaginal development of the parasitoid Diglyphus isaea (Hymenoptera: Eulophidae),Biological Control,"Cesena, Province of ForlÃ¬-Cesena, Italy",12.247011,44.136861,2,718,11.9,2.6,2.3,NA,2,,,,
Diatraea lineolata,Lepidoptera,Pyralidae,Diatraea,lineolata,11,NA,NA,Cheah C.S.J.,1987,"Temperature requirements of the chrysanthemum leaf miner. Chromatomyia syngenesiae (Dipt.: Agromyzidae), and its ectoparasitoid, Diglyphus isaea (Hym.: Eulophidae).",Entomophaga,"Cambridge, United Kingdom",0.120672,52.201978,3,719,8.7,2.3,NA,NA,2,,,,
Diatraea lineolata,Lepidoptera,Pyralidae,Diatraea,lineolata,11.1,NA,NA,Cheah C.S.J.,1987,"Temperature requirements of the chrysanthemum leaf miner. Chromatomyia syngenesiae (Dipt.: Agromyzidae), and its ectoparasitoid, Diglyphus isaea (Hym.: Eulophidae).",Entomophaga,"Cambridge, United Kingdom",0.120672,52.201978,3,719,8.7,2.4,NA,NA,2,,,,
Drosophila melanogaster,Diptera,Drosophilidae,Drosophila,melanogaster,8.9,NA,NA,"Oudman L., Delden W. van, Kamping A., Bijlsma R.",1990,"Polymorphism at the Adh and Gpdh loci in Drosophila melanogaster: effects of rearing temperature on developmental rate, body weight, and some biochemical parameters.",Heredity,"Groningen, Netherlands",6.56578,53.217162,1,245,7.1,1.8,NA,NA,1,,,,
Drosophila melanogaster,Diptera,Drosophilidae,Drosophila,melanogaster,9,NA,NA,"Oudman L., Delden W. van, Kamping A., Bijlsma R.",1990,"Polymorphism at the Adh and Gpdh loci in Drosophila melanogaster: effects of rearing temperature on developmental rate, body weight, and some biochemical parameters.",Heredity,"Groningen, Netherlands",6.56578,53.217162,1,245,7.1,1.9,NA,NA,1,,,,
Drosophila melanogaster,Diptera,Drosophilidae,Drosophila,melanogaster,9.2,NA,NA,"Oudman L., Delden W. van, Kamping A., Bijlsma R.",1990,"Polymorphism at the Adh and Gpdh loci in Drosophila melanogaster: effects of rearing temperature on developmental rate, body weight, and some biochemical parameters.",Heredity,"Groningen, Netherlands",6.56578,53.217162,1,245,7.1,2.1,NA,NA,1,,,,
Drosophila melanogaster,Diptera,Drosophilidae,Drosophila,melanogaster,9.2,NA,NA,"Oudman L., Delden W. van, Kamping A., Bijlsma R.",1990,"Polymorphism at the Adh and Gpdh loci in Drosophila melanogaster: effects of rearing temperature on developmental rate, body weight, and some biochemical parameters.",Heredity,"Groningen, Netherlands",6.56578,53.217162,1,245,7.1,2.1,NA,NA,1,,,,
